Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
e9093b96-6447-36c7-af2b-dfeccb5be99c,3e6fff7a-9d5d-37bf-9fe9-150723a16d0b,Rosette746 Bruen238,F,GENERAL PRACTICE,85 NORTH GRAND AVENUE,FORT THOMAS,KY,41075,39.081974,-84.453172,28
d1112d8f-a597-3535-80c9-af9ca40edbd0,14157524-aba2-32f5-9042-226fb79cc479,Tuan998 Fadel536,M,GENERAL PRACTICE,ONE SAINT JOSEPH DRIVE,LEXINGTON,KY,40504,38.040157,-84.458443,4
701e42f3-d0f4-3a6d-b321-c02157783843,b29c23c6-1e71-37da-9086-2510cbd3edf2,Peter292 Wintheiser220,M,GENERAL PRACTICE,913 NORTH DIXIE AVENUE,ELIZABETHTOWN,KY,42701,37.704338,-85.877039,11
c51930f1-a660-3d48-a978-f5cd9b244e60,c3b07881-5132-3638-8bd1-f5ffa9bbb95a,Delta800 Quigley282,F,GENERAL PRACTICE,727 HOSPITAL DRIVE,SHELBYVILLE,KY,40065,38.205898,-85.228181,4
1665eef7-e320-300a-8d08-98715c7cc87a,5a8fe97f-11c8-3fe9-83a3-5dad019974b0,Franklin857 Bayer639,M,GENERAL PRACTICE,3600 WEST CUMBERLAND AVENUE,MIDDLESBORO,KY,40965,36.646347,-83.720813,120
7ddf0877-65ab-3911-bd20-28bc2f86eb9b,87136782-d013-3ec4-b0ac-32078d1ef864,Octavio643 Schaefer657,M,GENERAL PRACTICE,320 LORETTO ROAD,LEBANON,KY,40033,37.835567,-85.721427,119
498fc099-b505-3679-98ae-007cb12c5f58,810586e8-ef16-3836-ab16-e02364655dcb,Jame231 Jacobi462,M,GENERAL PRACTICE,4305 NEW SHEPHERDSVILLE ROAD,BARDSTOWN,KY,40004,37.819782,-85.4513,66
34600c9d-c6b3-3c03-ab5a-6c1519df35f7,c8a0e462-312a-377b-818e-4f19fd16e308,Edmundo94 Leffler128,M,GENERAL PRACTICE,803 POPLAR STREET,MURRAY,KY,42071,36.618095,-88.31345300000002,12
670f34bf-912a-3f86-8cd3-ed205551d85c,d89b9f0b-fb33-3c4a-b84c-99c60350c24c,Melvina326 Glover433,F,GENERAL PRACTICE,1 MEDICAL VILLAGE DRIVE,EDGEWOOD,KY,41017,39.008725,-84.55988,2
dbfccacd-4bb3-348f-857e-38ac6c0bb708,692b710b-6e8c-3402-931a-da3fbce9d050,Louetta798 Thompson596,F,GENERAL PRACTICE,1000 SAINT CHRISTOPHER DRIVE,ASHLAND,KY,41101,38.465553,-82.65573,9
