Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
b95d97d6-51c0-f4d0-1555-1376058c771f,2008-10-21,,999-32-2417,,,,Guy979,Brown30,,,,white,nonhispanic,M,Raceland  Kentucky  US,245 Simonis Harbor Apt 99,Lexington,Kentucky,Fayette County,40506,38.08209927528241,-84.5419057529168,27461.280000000002,456.65
a1d0189b-e0cd-985c-7022-11471d67fe84,1954-12-28,,999-15-7161,S99926376,X74354335X,Mr.,Kent912,Jakubowski832,,,M,white,nonhispanic,M,Murray  Kentucky  US,162 Mitchell Passage Apt 7,Bowling Green,Kentucky,Warren County,42122,36.80765007260265,-86.31703703210464,1333069.24,6465.38
f9753c1e-9722-f1f5-9430-6c9253841dda,1962-03-21,,999-77-4519,S99992734,X52894634X,Mr.,Everette494,Kirlin939,,,M,white,nonhispanic,M,Franklin  Kentucky  US,479 Sipes Walk Unit 56,Louisville,Kentucky,Jefferson County,40212,38.30109890693917,-85.54642132862067,1349729.6,1863.84
11cae9a4-2d70-c3d8-4456-26a8db3344a0,2017-07-21,,999-91-7108,,,,Kaley842,O'Reilly797,,,,white,nonhispanic,F,Louisville  Kentucky  US,441 McLaughlin Pathway,St. Regis Park,Kentucky,Jefferson County,40220,38.203459596633586,-85.61521217034493,99000.0,1095.96
8132614a-4365-f33d-5d30-7c886bcc004e,1972-10-21,,999-82-2663,S99981778,X49965977X,Mrs.,Debi992,Schowalter414,,Herzog843,M,white,nonhispanic,F,Lexington  Kentucky  US,303 Hickle Knoll Unit 52,Henderson,Kentucky,Henderson County,42420,37.82843132246125,-87.61369108036722,147420.0,1641.87
c037344f-0d4f-2270-1d6f-2764e30f70a9,2012-06-03,,999-39-1452,,,,Harland508,Harber290,,,,white,nonhispanic,M,Fort Thomas  Kentucky  US,176 Bartoletti Mall,Lexington,Kentucky,Fayette County,40510,37.93396786491826,-84.43248803331898,190800.0,1552.6100000000001
adea8a6f-8a09-2254-0544-f66485650079,1998-02-24,,999-94-3042,S99968505,X19338294X,Ms.,Tish18,Thiel172,,,,white,nonhispanic,F,Lexington  Kentucky  US,875 Reynolds Parade,Lexington,Kentucky,Fayette County,40506,37.984603097696855,-84.53003214857009,473034.8,1664.53
4d9f172b-aef7-82de-384d-a7443d731d98,1976-04-17,,999-77-2110,S99918160,X53814098X,Mr.,Leland44,Dicki44,,,M,white,nonhispanic,M,Lyndon  Kentucky  US,1068 Buckridge Pathway,Middlesborough,Kentucky,Bell County,,36.6756518551883,-83.75733884540712,981434.7999999999,3043.99
f72595d9-d1d7-56cd-ebe4-e7eccb57446e,1974-05-11,,999-70-5719,S99954647,X88270535X,Mr.,Edgardo196,Gottlieb798,,,M,black,nonhispanic,M,Beattyville  Kentucky  US,686 Lind Bypass,Louisville,Kentucky,Jefferson County,40203,38.28894301656352,-85.66272845065274,14975.22,245.32
2bc0ff0f-999a-89c4-bc91-7de46c3dde44,1965-12-04,,999-83-2725,S99947886,X65621449X,Mrs.,Page791,Ruecker817,,Gottlieb798,M,white,nonhispanic,F,Clarkson  Kentucky  US,1052 Kris Fort Unit 64,Reidland,Kentucky,McCracken County,,37.00907053086158,-88.5064458172249,1396500.0,2009.85
